iso_code,year,age,unmet_need_section,unmet_need
8,2002,15_44,spacing,1
8,2002,15_44,limiting,0.3
8,2008,15_49,spacing,3.5
8,2008,15_49,limiting,9.4
12,2012,15_49,spacing,5.6
12,2012,15_49,limiting,4.8
31,2001,15_44,spacing,1.8
31,2001,15_44,limiting,9.7
31,2006,15_49,spacing,3
31,2006,15_49,limiting,12.5
50,1993,15_49,spacing,10.7
50,1993,15_49,limiting,10.9
50,1996,15_49,spacing,9.7
50,1996,15_49,limiting,10
50,1999,15_49,spacing,8.5
50,1999,15_49,limiting,9.7
50,2004,15_49,spacing,6.7
50,2004,15_49,limiting,8.3
50,2007,15_49,spacing,6.7
50,2007,15_49,limiting,10.1
50,2011,15_49,spacing,5.4
50,2011,15_49,limiting,8.1
51,2000,15_49,spacing,3.5
51,2000,15_49,limiting,14.6
51,2005,15_49,spacing,3.9
51,2005,15_49,limiting,15.5
51,2010,15_49,spacing,5.3
51,2010,15_49,limiting,8.2
52,2012,15_49,spacing,9.5
52,2012,15_49,limiting,10.4
56,1991,21_39,limiting,3.4
64,2010,15_49,spacing,4.7
64,2010,15_49,limiting,6.9
68,1989,15_49,spacing,9.5
68,1989,15_49,limiting,26.2
68,1993,15_49,spacing,7.5
68,1993,15_49,limiting,21.4
68,1998,15_49,spacing,6.7
68,1998,15_49,limiting,19.9
68,2003,15_49,spacing,6
68,2003,15_49,limiting,16.9
68,2008,15_49,spacing,6.2
68,2008,15_49,limiting,14
70,2011,15_49,spacing,3.3
70,2011,15_49,limiting,5.7
72,1988,15_49,spacing,19.4
72,1988,15_49,limiting,7.4
76,1986,15_44,spacing,4.8
76,1986,15_44,limiting,8
76,1996,15_49,spacing,4
76,1996,15_49,limiting,6.8
84,2011,15_49,spacing,8.4
84,2011,15_49,limiting,7.5
90,2006,15_49,spacing,6.9
90,2006,15_49,limiting,4.2
100,1997,18_40,limiting,29.7
104,1991,15_49,spacing,6.2
104,1991,15_49,limiting,14.4
104,1997,15_49,spacing,5.8
104,1997,15_49,limiting,13.3
104,2001,15_49,spacing,6.3
104,2001,15_49,limiting,12.8
108,1987,15_49,spacing,17.7
108,1987,15_49,limiting,7.4
108,2010,15_49,spacing,22.6
108,2010,15_49,limiting,9.8
112,2012,15_49,spacing,3.8
112,2012,15_49,limiting,3.2
116,2000,15_49,spacing,17.2
116,2000,15_49,limiting,15.9
116,2005,15_49,spacing,8.5
116,2005,15_49,limiting,16.8
116,2010,15_49,spacing,6.1
116,2010,15_49,limiting,10.8
120,1991,15_49,spacing,17.4
120,1991,15_49,limiting,4.9
120,1998,15_49,spacing,13.9
120,1998,15_49,limiting,6.8
120,2004,15_49,spacing,14.1
120,2004,15_49,limiting,6.5
120,2011,15_49,spacing,15.2
120,2011,15_49,limiting,8.2
132,1998,15_49,spacing,4
132,1998,15_49,limiting,10
132,2005,15_49,spacing,6.4
132,2005,15_49,limiting,10.3
