iso_code,year,age,unmet_need
8,2002,15_44,1.3
8,2008-2009,15_49,12.9
12,2012,15_49,10.4
51,2000,15_49,18.1
51,2005,15_49,19.3
51,2010,15_49,13.5
31,2001,15_44,11.5
31,2006,15_49,15.4
50,1993-1994,15_49,21.6
50,1996-1997,15_49,19.7
50,1999-2000,15_49,18.2
50,2004,15_49,15
50,2007,15_49,16.8
50,2011,15_49,13.5
50,2012-2013,15_49,13.9
52,2012,15_49,19.9
112,2012,15_49,7
56,1991-1992,21_39,3.4
84,1991,15_44,25.7
84,1999,15_44,20.8
84,2011,15_49,15.9
204,1996,15_49,27.7
204,2001,15_49,27.9
204,2006,15_49,27.3
204,2011-2012,15_49,32.6
64,2010,15_49,11.7
68,1989,15_49,35.7
68,1993-1994,15_49,28.9
68,1998,15_49,26.6
68,2003-2004,15_49,22.8
68,2008,15_49,20.1
70,2011-2012,15_49,9
72,1988,15_49,26.9
76,1986,15_44,12.8
76,1996,15_49,10.8
76,2006,15_49,6
100,1997-1998,18_40,29.7
854,1992-1993,15_49,24.6
854,1998-1999,15_49,30.3
854,2003,15_49,29.8
854,2010-2011,15_49,24.5
854,2014,15_49,35.7
108,1987,15_49,25.1
108,2002,15_49,29
108,2010-2011,15_49,32.4
132,1998,15_49,14.2
132,2005,15_49,16.7
116,2000,15_49,33
116,2005,15_49,25.3
116,2010-2011,15_49,16.9
116,2014,15_49,12.5
120,1991,15_49,22.4
120,1998,15_49,20.7
120,2004,15_49,20.5
120,2011,15_49,23.5
140,1994-1995,15_49,19.1
140,2010-2011,15_49,27
148,1996-1997,15_49,17.4
148,2004,15_49,20.6
148,2010,15_49,28.3
156,1992,15_49,3.3
156,1997,15_49,2.7
156,2001,15_49,2.3
170,1986,15_49,13.5
170,1990,15_49,13.7
170,1995,15_49,11.4
170,2000,15_49,10
170,2004-2005,15_49,8.6
170,2009-2010,15_49,8
174,1996,15_49,35.6
174,2012,15_49,31.6
178,2005,15_49,19.5
178,2011-2012,15_49,18.2
188,1992-1993,15_49,5
188,2011,15_49,7.6
384,1994,15_49,30.4
384,1998-1999,15_49,28.9
384,2011-2012,15_49,22.2
192,2010-2011,15_49,9.1
192,2014,15_49,8
203,1993,15_44,14.6
203,1997,15_44,10.8
203,2005,18_44,8.1
203,2008,18_44,4.3
408,2010,20_49,14.5
180,2007,15_49,26.9
180,2010,15_49,24.2
180,2013-2014,15_49,27.7
214,1986,15_49,19.4
214,1991,15_49,19.4
214,1996,15_49,14.3
214,1999,15_49,13.8
214,2002,15_49,12.4
214,2007,15_49,11.1
214,2013,15_49,10.8
218,1987,15_49,24.2
218,1989,15_49,24.6
218,1994,15_49,15.2
218,1999,15_49,10
218,2004,15_49,7.4
818,1992,15_49,22.9
818,1995,15_49,20.2
818,1997-1998,15_49,17.8
818,1998,15_49,14.5
818,2000,15_49,13.7
818,2003,15_49,11.8
818,2005,15_49,12.3
818,2008,15_49,11.6
818,2014,15_49,12.6
222,1988,15_44,16.2
222,1993,15_44,15.8
222,1998,15_44,14.2
222,2002-2003,15_49,22.3
222,2008,15_49,18.4
226,2011,15_49,34
232,1995,15_49,29.7
232,2002,15_49,28.5
231,2000,15_49,36.6
231,2005,15_49,36.1
231,2010-2011,15_49,26.3
231,2014,15_49,24.3
250,1994,20_49,7.4
250,2004-2005,15_49,1.7
266,2000,15_49,27.9
266,2012,15_49,26.5
270,2010,15_49,21.5
268,1999-2000,15_44,23.8
268,2005,15_44,16.3
268,2010,15_44,12.3
288,1988,15_49,35.2
288,1993,15_49,36.9
288,1998-1999,15_49,34.7
288,2003,15_49,34.5
288,2008,15_49,35.7
288,2011,15_49,26.4
288,2013,15_49,39.1
288,2014,15_49,38.2
288,2014,15_49,32.7
320,1987,15_44,29.4
320,1995,15_49,28.1
320,1998-1999,15_49,26.8
320,2002,15_49,27.6
320,2008-2009,15_49,20.8
324,1992-1993,15_49,24.7
324,1999,15_49,24.8
324,2005,15_49,21.9
624,2010,15_49,6
328,2009,15_49,28.5
332,1989,15_49,27.2
332,1994-1995,15_49,44.7
332,2000,15_49,39.6
332,2005-2006,15_49,37.3
332,2012,15_49,35.3
340,1987,15_44,15.8
340,1996,15_44,18
340,2001,15_44,11.2
340,2005-2006,15_49,16.8
340,2011-2012,15_49,10.7
348,1992-1993,18_41,7
356,1992-1993,15_49,20.3
356,1998-1999,15_49,16.1
356,2002-2004,15_44,21.1
356,2005-2006,15_49,13.9
356,2007-2008,15_49,20.5
360,1987,15_49,16
360,1991,15_49,17
360,1994,15_49,15.3
360,1997,15_49,13.6
360,2002-2003,15_49,13.2
360,2007,15_49,13.1
360,2012,15_49,11.4
364,2010-2011,15_49,5.69
368,2011,15_49,8
380,1995-1996,20_49,11.8
388,1989,15_49,20.6
388,1993,15_44,13
388,1997,15_49,14.2
388,2002-2003,15_49,11.7
388,2008-2009,15_49,9.96
400,1990,15_49,26.5
400,1997,15_49,20.1
400,2002,15_49,14.9
